cluster_id,keyword,fract_dimension_type,keyword_score
1,racial biases,highest,0.5242
1,racist discriminatory,highest,0.5163
1,racist outcomes,highest,0.5144
1,sentencing aí,highest,0.5102
1,discrimination racism,highest,0.5087
1,sexism racism,highest,0.534
1,racism sexism,highest,0.5294
1,sentencing ai,highest,0.5102
1,intrinsic racism,highest,0.5372
1,biases race,highest,0.5089
1,bias racism,highest,0.5651
1,racism results,highest,0.5108
1,racist bias,highest,0.5222
1,reinforce racism,highest,0.5107
1,unethical racism,highest,0.5166
1,ingrained racism,highest,0.5148
1,discriminating racial,highest,0.5073
1,sexist racist,highest,0.5352
1,racist discriminating,highest,0.5131
1,racism bias,highest,0.5475
1,discriminating race,highest,0.5142
1,racist sexist,highest,0.5432
1,outcomes racist,highest,0.5026
1,ai racist,highest,0.5423
1,causes racism,highest,0.5075
1,ai racial,highest,0.5331
1,brain racism,highest,0.5254
1,bias racial,highest,0.5315
1,racist ai,highest,0.5586
1,trained racist,highest,0.5123
0,perceptual signals,lowest,0.3603
0,samples really,lowest,0.4153
0,sampler uses,lowest,0.3615
0,tune models,lowest,0.3412
0,songs sampling,lowest,0.4891
0,music transformer,lowest,0.4073
0,samples roughly,lowest,0.3729
0,nucleus sampling,lowest,0.441
0,sampling running,lowest,0.4041
0,randomly sample,lowest,0.3476
0,sampling,lowest,0.3791
0,sampling methods,lowest,0.3664
0,sampler looks,lowest,0.3888
0,sampler,lowest,0.3935
0,generated samples,lowest,0.359
0,50 samples,lowest,0.3899
0,samples lie,lowest,0.349
0,llm sampler,lowest,0.3794
0,samples doing,lowest,0.3821
0,normally sampler,lowest,0.3558
0,selective sampling,lowest,0.4373
0,sampling model,lowest,0.3607
0,samples,lowest,0.3596
0,sampling practically,lowest,0.4494
0,efficient tune,lowest,0.3448
0,samples good,lowest,0.3786
0,thousand samples,lowest,0.3359
0,sounding samples,lowest,0.5251
0,unseen sample,lowest,0.3469
0,just sampling,lowest,0.3758
